p p1
p p2
p p3
p p4
p p5
p p6
p p7
p p8
p p9
p p10
p p11
p p12
p p13
p p14
p p15
p p16
p p17
p p18
p p19
p p20
p p21
p p22
p p23
p p24
p p25
p p26
p p27
p p28
p p29
p p30
p p31
p p32
p p33
p p34
p p35
p pini0
p pfin0
t 1
t 2
t 3
t 4
t 5
t 6
t 7
t 8
t 9
t 10
t 11
t 12
t 13
t 14
t 15
t 16
t 17
t 18
t 19
t 20
t 21
t 22
t 23
t 24
t 25
t 26
t 27
t 28
f 7 p1 
f p1 8 
f 8 p2 
f p2 9 
f 8 p3 
f p3 10 
f 8 p4 
f p4 11 
f 13 p5 
f p5 14 
f 14 p6 
f p6 15 
f 14 p7 
f p7 16 
f 14 p8 
f p8 17 
f 15 p9 
f p9 18 
f 16 p10 
f p10 18 
f 17 p11 
f p11 18 
f 18 p12 
f p12 19 
f 24 p13 
f p13 25 
f 25 p14 
f p14 26 
f 1 p15 
f p15 2 
f 2 p16 
f p16 3 
f 2 p17 
f p17 4 
f 2 p18 
f p18 5 
f 5 p19 
f p19 6 
f 4 p20 
f p20 6 
f 3 p21 
f p21 6 
f 6 p22 
f p22 7 
f 11 p23 
f p23 12 
f 10 p24 
f p24 12 
f 9 p25 
f p25 12 
f 12 p26 
f p26 13 
f 19 p27 
f p27 20 
f 21 p28 
f p28 22 
f 21 p29 
f p29 23 
f 21 p30 
f p30 24 
f 20 p31 
f p31 21 
f 27 p32 
f p32 28 
f 22 p33 
f p33 27 
f 23 p34 
f p34 27 
f 26 p35 
f p35 27 
f pini0 1 
f 28 pfin0 
